organization,programme,economic_category,standard_object,appropriation,amount
Department of Finance Canada,Information Management Services,personnel,Personnel,statutory,93135.27
Natural Sciences and Engineering Research Council of Canada,Legal Services,personnel,Personnel,statutory,93127.27
National Research Council Canada,Management and Oversight Services,operating,Rentals,statutory,92983.84
Health Canada,Air Quality,capital,Acquisition of machinery and equipment,voted,92938.94
Immigration and Refugee Board of Canada,Immigration Appeal Decisions,operating,Repair and maintenance,voted,92886.0
Department of Indigenous Services,Elementary and Secondary Education,operating,Rentals,voted,92885.5
Transportation Safety Board of Canada,Rail Occurrence Investigations,capital,Acquisition of machinery and equipment,voted,92760.3
Veterans Affairs Canada,Human Resources Management Services,operating,"Utilities, materials and supplies",voted,92614.22
Canada Border Services Agency,Management and Oversight Services,operating,Rentals,voted,92610.9
National Defence,Land Force Development,other,Other subsidies and payments,voted,92594.59
Fisheries and Oceans Canada,Materiel Management Services,operating,"Utilities, materials and supplies",voted,92513.07
Canada Revenue Agency,Defence Team,operating,Transportation and communications,voted,92479.35
Transport Canada,Information Technology Services,operating,"Utilities, materials and supplies",voted,92434.73
Canada Border Services Agency,Trusted Traveller,operating,"Utilities, materials and supplies",voted,92208.79
National Research Council Canada,Herzberg Astronomy & Astrophysics,operating,Information,voted,92098.38
Transportation Safety Board of Canada,Marine Occurrence Investigations,operating,Repair and maintenance,voted,92094.35
Veterans Affairs Canada,Veterans Ombudsperson,operating,Information,voted,92042.1
The National Battlefields Commission,"Educational, cultural and heritage activities",operating,Information,statutory,91875.65
Office of the Commissioner for Federal Judicial Affairs Canada,Office of the Commissioner for Federal Judicial Affairs,operating,Information,voted,91858.71
Environment and Climate Change Canada,Materiel Management Services,operating,Repair and maintenance,statutory,91800.64
Royal Canadian Mounted Police,Protective Operations,transfers,Transfer payments,unknown,91668.93
Transport Canada,Information Technology Services,other,Other subsidies and payments,voted,91503.43
National Research Council Canada,Automotive and Surface Transportation,operating,Repair and maintenance,voted,91455.95
Parks Canada,Heritage Places Establishment,capital,Acquisition of machinery and equipment,voted,91207.6
Global Affairs Canada,International Assistance Operations,operating,Professional and special services,voted,91183.57
"Immigration, Refugees and Citizenship Canada",Energy Information,capital,Acquisition of machinery and equipment,statutory,91154.05
Canada Revenue Agency,Real Property Management Services,capital,Acquisition of machinery and equipment,statutory,91081.06
Correctional Service Canada,Mental Health Services,operating,Transportation and communications,voted,91062.37
"Innovation, Science and Economic Development Canada",Human Resources Management Services,capital,Acquisition of machinery and equipment,voted,91017.91
National Research Council Canada,Human Resources Management Services,operating,Rentals,statutory,91017.91
Employment and Social Development Canada,Social Development Partnerships Program,operating,Rentals,voted,90985.26
Canada Border Services Agency,Ready Forces,operating,Professional and special services,voted,90946.89
