organization,programme,economic_category,standard_object,appropriation,amount
Employment and Social Development Canada,Old Age Security,transfers,Transfer payments,statutory,80190328628.6
Department of Finance Canada,Internal Services,transfers,Transfer payments,statutory,52609047030.01
Department of Finance Canada,Market Debt and Foreign Reserves Management,debt_service,Public debt charges,statutory,47995144537.39
Department of Finance Canada,Fiscal Arrangements with Provinces and Territories,transfers,Transfer payments,statutory,40008781761.84
Canada Revenue Agency,Internal Services,transfers,Transfer payments,statutory,15880199253.81
Crown-Indigenous Relations and Northern Affairs Canada,Specific Claims,transfers,Transfer payments,unknown,8331944493.55
Employment and Social Development Canada,Appeals,transfers,Transfer payments,unknown,7233691521.96
Treasury Board of Canada Secretariat,Public Service Employer Payments,personnel,Personnel,statutory,6425000000.02
Department of Indigenous Services,Community Infrastructure,transfers,Transfer payments,unknown,5543967532.07
Health Canada,Responsive Health Care Systems,transfers,Transfer payments,unknown,5081361266.0
Treasury Board of Canada Secretariat,Public Service Employer Payments,personnel,Personnel,unknown,4996762557.8
"Housing, Infrastructure and Communities Canada",Allocation-Based and Direct Funding Stewardship,transfers,Transfer payments,unknown,4516999636.0
Department of Indigenous Services,Child and Family Services,transfers,Transfer payments,unknown,4448777303.79
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,transfers,Transfer payments,statutory,3763431509.75
Veterans Affairs Canada,Disability Benefits,transfers,Transfer payments,unknown,3629646664.57
Department of Indigenous Services,Elementary and Secondary Education,transfers,Transfer payments,unknown,3218463682.45
Canada Mortgage and Housing Corporation,Assistance for housing needs,other,Other subsidies and payments,unknown,2763894846.5
Department of Finance Canada,Internal Services,other,Other subsidies and payments,statutory,2379762736.0
"Housing, Infrastructure and Communities Canada",Allocation-Based and Direct Funding Stewardship,transfers,Transfer payments,statutory,2368157557.0
Crown-Indigenous Relations and Northern Affairs Canada,Management of Treaties and Agreements,transfers,Transfer payments,unknown,2287065027.9
"Innovation, Science and Economic Development Canada",Business Innovation,transfers,Transfer payments,unknown,2182577512.46
Department of Indigenous Services,Jordan's Principle and the Inuit Child First Initiative,transfers,Transfer payments,unknown,2021784455.14
Global Affairs Canada,Multilateral International Assistance,transfers,Transfer payments,unknown,2006659251.67
"Immigration, Refugees and Citizenship Canada",Settlement,transfers,Transfer payments,unknown,1995709232.02
National Defence,Ready Land Forces,personnel,Personnel,voted,1883653563.48
National Defence,Aerospace Equipment Acquisition,capital,Acquisition of machinery and equipment,statutory,1861578303.05
National Defence,Equipment Support,operating,Repair and maintenance,voted,1709581362.38
Health Canada,Healthy People and Communities,transfers,Transfer payments,voted,1647931186.19
Royal Canadian Mounted Police,Provincial/Territorial Policing,personnel,Personnel,voted,1627241817.97
National Defence,Defence Team Management,personnel,Personnel,voted,1507329807.94
National Defence,Maritime Equipment Acquisition,capital,Acquisition of machinery and equipment,statutory,1502348915.79
National Defence,Global Engagement,transfers,Transfer payments,unknown,1492799157.33
Veterans Affairs Canada,Procurement Ombud,transfers,Transfer payments,unknown,1441375693.51
Canadian Broadcasting Corporation,Canadian Broadcasting Corporation,other,Other subsidies and payments,unknown,1425237411.0
Employment and Social Development Canada,Canada Education Savings Program,transfers,Transfer payments,statutory,1394530614.04
Department of Indigenous Services,Income Assistance,transfers,Transfer payments,unknown,1381779636.71
Crown-Indigenous Relations and Northern Affairs Canada,Other Claims,other,Other subsidies and payments,voted,1373819032.53
Canada Revenue Agency,Reporting Compliance,personnel,Personnel,voted,1370022179.58
Canada Mortgage and Housing Corporation,Financing for housing,other,Other subsidies and payments,unknown,1360786483.93
Canada Mortgage and Housing Corporation,Housing expertise and capacity development,other,Other subsidies and payments,unknown,1342006618.79
Agriculture and Agri-Food Canada,Proactive Compliance,transfers,Transfer payments,statutory,1264457815.95
Transport Canada,Climate Change and Clean Air,transfers,Transfer payments,unknown,1188410430.98
Department of Indigenous Services,Public Health and Disease Prevention,transfers,Transfer payments,unknown,1185000322.84
"Immigration, Refugees and Citizenship Canada",Internal Services,transfers,Transfer payments,unknown,1139549582.38
Natural Resources Canada,Common Government of Canada Information Technology (IT) Operations,transfers,Transfer payments,unknown,1114912463.75
Canadian Air Transport Security Authority,Canadian Air Transport Security Authority,other,Other subsidies and payments,unknown,1079165190.0
Atomic Energy of Canada Limited,Nuclear decommissioning and radioactive waste management,other,Other subsidies and payments,unknown,1069606513.0
National Defence,Aerospace Equipment Acquisition,operating,Professional and special services,statutory,1059858698.86
Public Services and Procurement Canada,Real Property and Infrastructure Services,operating,Professional and special services,statutory,1055567648.58
National Defence,Ready Air and Space Forces,personnel,Personnel,voted,1032751985.65
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Rentals,voted,1028336192.32
Department of Indigenous Services,Health Systems Support,transfers,Transfer payments,unknown,1018104112.82
"Innovation, Science and Economic Development Canada",Science and Research,transfers,Transfer payments,unknown,1005069755.12
National Defence,Equipment Support,operating,Professional and special services,voted,1001298347.91
Natural Resources Canada,Statutory Offshore Payments,transfers,Transfer payments,statutory,987269302.94
National Defence,Maritime Equipment Acquisition,operating,Professional and special services,statutory,975727675.41
Employment and Social Development Canada,Employment Insurance,personnel,Personnel,voted,975070051.0
National Defence,Equipment Support,capital,Acquisition of machinery and equipment,voted,949191994.62
Windsor-Detroit Bridge Authority,Windsor-Detroit Bridge Authority,other,Other subsidies and payments,unknown,944189291.0
Fisheries and Oceans Canada,Fleet Procurement,operating,Professional and special services,statutory,938400736.88
Correctional Service Canada,Supervision,personnel,Personnel,voted,896172006.83
National Defence,Ready Naval Forces,personnel,Personnel,voted,887855973.21
VIA Rail Canada Inc.,VIA Rail Canada Inc.,other,Other subsidies and payments,unknown,878574403.27
Employment and Social Development Canada,Canada Disability Savings Program,transfers,Transfer payments,statutory,862600479.59
Canadian Institutes of Health Research,Investigator-Initiated Research,transfers,Transfer payments,unknown,862308145.21
Canada Revenue Agency,Tax Services and Processing,personnel,Personnel,voted,851407590.97
Royal Canadian Mounted Police,Municipal Policing,personnel,Personnel,voted,849634974.55
Global Affairs Canada,Humanitarian Assistance,transfers,Transfer payments,unknown,837650000.0
"Immigration, Refugees and Citizenship Canada",Internal Services,operating,Professional and special services,voted,814059142.38
Natural Sciences and Engineering Research Council of Canada,Green and Innovative Transportation System,transfers,Transfer payments,unknown,772134773.44
"Housing, Infrastructure and Communities Canada",Homelessness Funding Oversight,transfers,Transfer payments,unknown,744333391.1
Office of the Commissioner for Federal Judicial Affairs Canada,Payments pursuant to the Judges Act,personnel,Personnel,statutory,737686202.34
Employment and Social Development Canada,Workforce Development Agreements,transfers,Transfer payments,unknown,722733435.0
Department of Indigenous Services,Supplementary Health Benefits,operating,"Utilities, materials and supplies",voted,718808356.38
Canada Revenue Agency,Internal Services,personnel,Personnel,voted,707302123.62
Canada Border Services Agency,Government-Wide Support,personnel,Personnel,voted,696976106.67
Department of Indigenous Services,Emergency Management Assistance,transfers,Transfer payments,unknown,670469268.71
Canadian Heritage,Internal Services,transfers,Transfer payments,unknown,650775218.68
Global Affairs Canada,Sub-Saharan Africa International Assistance,transfers,Transfer payments,unknown,642418304.81
National Defence,"Defence Infrastructure Construction, Recapitalization and Investment",capital,"Acquisition of land, buildings and works",statutory,621780814.44
Agriculture and Agri-Food Canada,Internal Services,transfers,Transfer payments,statutory,612089534.89
Department of Indigenous Services,Post-Secondary Education,transfers,Transfer payments,unknown,602460078.21
Canadian Heritage,Official Languages,transfers,Transfer payments,unknown,600584156.5
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Repair and maintenance,voted,598963342.55
Department of Indigenous Services,Supplementary Health Benefits,operating,Professional and special services,voted,583048850.42
Department of Indigenous Services,Indigenous Governance and Capacity Supports,transfers,Transfer payments,unknown,562766618.03
National Defence,Land Equipment Acquisition,capital,Acquisition of machinery and equipment,statutory,552568967.95
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Professional and special services,voted,547580166.09
Transport Canada,National Trade Corridors,transfers,Transfer payments,unknown,541745541.79
Department of Indigenous Services,Supplementary Health Benefits,operating,Transportation and communications,voted,538632225.19
Environment and Climate Change Canada,The Jacques-Cartier and Champlain Bridges Inc.,transfers,Transfer payments,unknown,533859335.27
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,capital,"Acquisition of land, buildings and works",statutory,531756246.13
Crown-Indigenous Relations and Northern Affairs Canada,Northern Contaminated Sites,operating,Professional and special services,voted,522629268.33
Public Services and Procurement Canada,Real Property and Infrastructure Services,personnel,Personnel,statutory,507327086.35
Canada Revenue Agency,Returns Compliance,personnel,Personnel,voted,499884996.33
Export Development Canada,Export Development Canada (Canada Account),other,Other subsidies and payments,statutory,491561037.3
"Immigration, Refugees and Citizenship Canada",Passport,operating,Professional and special services,statutory,479943219.63
Public Services and Procurement Canada,Parliament Hill and Surroundings,operating,Professional and special services,statutory,475652978.02
National Defence,Ready Air and Space Forces,operating,Professional and special services,voted,470909099.24
Social Sciences and Humanities Research Council of Canada,Research Support Fund,transfers,Transfer payments,unknown,466451926.0
Crown-Indigenous Relations and Northern Affairs Canada,Support for Indigenous-led Services and Programming,transfers,Transfer payments,unknown,461980301.0
Public Services and Procurement Canada,Real Property and Infrastructure Services,operating,Repair and maintenance,statutory,455358993.02
Veterans Affairs Canada,Disability Benefits,other,Other subsidies and payments,voted,444946016.69
Royal Canadian Mounted Police,Federal Policing Investigations,personnel,Personnel,voted,444459208.58
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Professional and special services,statutory,444288092.79
"Immigration, Refugees and Citizenship Canada",Refugee Resettlement,transfers,Transfer payments,unknown,437599567.36
National Research Council Canada,Industrial Research Assistance Program,transfers,Transfer payments,unknown,437007404.71
Department of Indigenous Services,Supplementary Health Benefits,transfers,Transfer payments,unknown,434978918.2
Natural Sciences and Engineering Research Council of Canada,Research and Technology Partnerships,transfers,Transfer payments,unknown,431084062.0
Employment and Social Development Canada,Internal services,transfers,Transfer payments,unknown,428319415.87
Public Services and Procurement Canada,Real Property and Infrastructure Services,capital,"Acquisition of land, buildings and works",statutory,426949835.87
Global Affairs Canada,Partnerships for Development Innovation,transfers,Transfer payments,unknown,417938431.27
Natural Resources Canada,Electricity Resources,transfers,Transfer payments,unknown,417173476.03
Veterans Affairs Canada,Health Care Benefits,operating,"Utilities, materials and supplies",voted,412714804.16
Global Affairs Canada,Multilateral Policy,transfers,Transfer payments,unknown,411099407.15
Public Safety Canada,Emergency Response/Recovery,transfers,Transfer payments,unknown,401676275.15
National Defence,Air and Space Force Development,capital,Acquisition of machinery and equipment,statutory,398792747.56
Department of Indigenous Services,Home and Long-term Care,transfers,Transfer payments,unknown,396807784.86
Canadian Institutes of Health Research,Research in Priority Areas,transfers,Transfer payments,unknown,385897048.33
National Defence,Land Bases,personnel,Personnel,voted,385127449.72
National Defence,Individual Training and Professional Military Education,personnel,Personnel,voted,384094128.02
National Defence,"Defence Infrastructure Maintenance, Support and Operations",operating,Professional and special services,voted,382898612.81
Veterans Affairs Canada,Health Care Benefits,operating,Professional and special services,voted,382115420.57
Public Services and Procurement Canada,Federal Pay Administration,personnel,Personnel,voted,381564368.57
National Defence,Total Health Care,operating,Professional and special services,voted,380238700.22
Canada Council for the Arts,Canada Council for the Arts,other,Other subsidies and payments,unknown,364283160.0
Veterans Affairs Canada,Veterans Independence Program,transfers,Transfer payments,unknown,364154471.21
Atomic Energy of Canada Limited,Nuclear laboratories,other,Other subsidies and payments,unknown,363993487.0
Canada Border Services Agency,Commercial Facilitation and Compliance,personnel,Personnel,voted,360910682.3
Employment and Social Development Canada,Advancing Canada's Interests and addressing global challenges,transfers,Transfer payments,unknown,360281778.0
Global Affairs Canada,Multilateral International Assistance,transfers,Transfer payments,statutory,349561400.8
Department of Justice Canada,Litigation Services,personnel,Personnel,voted,346142269.03
Employment and Social Development Canada,Old Age Security,personnel,Personnel,voted,344105255.27
Shared Services Canada,Data Centre Information Technology Operations,operating,Rentals,voted,343916123.6
Department of Indigenous Services,Urban Programming for Indigenous Peoples,transfers,Transfer payments,unknown,337743370.83
Department of Justice Canada,Advisory Services,personnel,Personnel,voted,337679377.65
Employment and Social Development Canada,Canada Pension Plan,personnel,Personnel,voted,329149406.37
Department of Justice Canada,Legal Representation,transfers,Transfer payments,unknown,326327602.21
National Defence,Total Health Care,personnel,Personnel,voted,323762795.65
Fisheries and Oceans Canada,Fleet Operational Capability,personnel,Personnel,voted,321077681.75
National Defence,Defence Team Management,operating,Transportation and communications,voted,319359603.45
Shared Services Canada,Connectivity,operating,Transportation and communications,voted,318195692.27
Global Affairs Canada,Peace and Stabilization Operations,transfers,Transfer payments,unknown,318039637.73
National Defence,Ready Land Forces,personnel,Personnel,statutory,316186519.17
National Defence,Equipment Support,capital,Acquisition of machinery and equipment,statutory,314820868.68
Environment and Climate Change Canada,Habitat Conservation and Protection,transfers,Transfer payments,unknown,308894545.09
National Defence,Air and Space Wings,personnel,Personnel,voted,304580025.93
"Innovation, Science and Economic Development Canada",Bridging Digital Divides,transfers,Transfer payments,unknown,304352659.11
Canadian Heritage,Sport Development and High Performance,transfers,Transfer payments,unknown,300833754.43
National Defence,Equipment Support,personnel,Personnel,voted,300081750.09
Employment and Social Development Canada,Passport,personnel,Personnel,statutory,298964361.6
Royal Canadian Mounted Police,Provincial/Territorial Policing,personnel,Personnel,unknown,298575108.78
Women and Gender Equality Canada,Internal Services,transfers,Transfer payments,unknown,298083877.0
Global Affairs Canada,Law Review,transfers,Transfer payments,unknown,298048358.66
Social Sciences and Humanities Research Council of Canada,Insight Research,transfers,Transfer payments,unknown,283265738.48
Health Canada,Healthy People and Communities,operating,Professional and special services,voted,282308195.36
Employment and Social Development Canada,Information Technology Services,personnel,Personnel,voted,279451509.38
Department of Indigenous Services,Primary Health Care,transfers,Transfer payments,unknown,277402841.49
Transport Canada,Transportation Infrastructure,transfers,Transfer payments,unknown,276692541.7
Public Safety Canada,Indigenous Policing,transfers,Transfer payments,unknown,276465917.25
National Defence,"Science, Technology and Innovation",operating,Professional and special services,voted,273574758.91
Fisheries and Oceans Canada,Fleet Procurement,capital,Acquisition of machinery and equipment,statutory,273455235.76
Canada Revenue Agency,Information Technology Services,personnel,Personnel,voted,273226796.94
Employment and Social Development Canada,Indigenous Skills and Employment Training Program,transfers,Transfer payments,unknown,268947376.0
Fisheries and Oceans Canada,Fleet Maintenance,capital,Acquisition of machinery and equipment,statutory,268223271.18
Public Services and Procurement Canada,Procurement Program,personnel,Personnel,voted,267924954.98
Department of Indigenous Services,Communities and the Environment,transfers,Transfer payments,unknown,267583377.92
Global Affairs Canada,Marine Atlantic Inc.,transfers,Transfer payments,unknown,264186353.92
Agriculture and Agri-Food Canada,"Chamber, Committees and Associations",transfers,Transfer payments,statutory,258951091.69
Royal Canadian Mounted Police,Provincial/Territorial Policing,operating,Professional and special services,voted,258552430.85
National Defence,Equipment Support,operating,"Utilities, materials and supplies",voted,258461388.84
"Innovation, Science and Economic Development Canada",Talent Development,transfers,Transfer payments,unknown,257127312.64
Canadian Space Agency,Space Exploration,operating,Professional and special services,statutory,254691632.46
National Defence,"Defence Infrastructure Maintenance, Support and Operations",operating,"Utilities, materials and supplies",voted,252328192.74
Royal Canadian Mounted Police,Human Resources Management Services,personnel,Personnel,voted,252307486.78
Fisheries and Oceans Canada,Aboriginal Programs and Treaties,transfers,Transfer payments,unknown,251504018.02
Public Health Agency of Canada,Health Promotion,transfers,Transfer payments,unknown,249433916.11
Shared Services Canada,Telecommunications,operating,Transportation and communications,voted,249319361.16
National Defence,"Defence Infrastructure Maintenance, Support and Operations",personnel,Personnel,voted,245251239.19
Correctional Service Canada,Offender Case Management,personnel,Personnel,voted,245016450.2
Agriculture and Agri-Food Canada,Foundational Science and Research,personnel,Personnel,voted,242848078.68
Global Affairs Canada,"Companies, Investment and Growth",personnel,Personnel,voted,240023765.73
Canada Revenue Agency,Reporting Compliance,personnel,Personnel,statutory,237778652.43
Global Affairs Canada,Americas International Assistance,transfers,Transfer payments,unknown,237002252.99
Fisheries and Oceans Canada,Marine Planning and Conservation,transfers,Transfer payments,unknown,235188704.47
Parks Canada,Information Delivery and Services for Other Departments,other,Other subsidies and payments,statutory,234597551.07
"Immigration, Refugees and Citizenship Canada",Internal Services,operating,Rentals,voted,233715280.77
Royal Canadian Mounted Police,Municipal Policing,personnel,Personnel,unknown,233250063.43
Environment and Climate Change Canada,Internal Services,transfers,Transfer payments,statutory,232740637.86
Shared Services Canada,Data Centre Information Technology Operations,personnel,Personnel,voted,232547256.03
Canada Revenue Agency,Tax Services and Processing,operating,Professional and special services,voted,228421620.59
National Defence,Ready Air and Space Forces,operating,"Utilities, materials and supplies",voted,228237961.17
Employment and Social Development Canada,Information Technology Services,operating,Professional and special services,voted,228094702.23
Agriculture and Agri-Food Canada,Intergovernmental Conference Services,transfers,Transfer payments,unknown,227852399.39
Department of Indigenous Services,Jordan's Principle and the Inuit Child First Initiative,operating,Professional and special services,voted,227068042.96
Canadian Food Inspection Agency,Monitoring and Enforcement for Food Safety and Consumer Protection,personnel,Personnel,voted,226000150.74
Royal Canadian Mounted Police,Provincial/Territorial Policing,personnel,Personnel,statutory,223825858.69
Public Safety Canada,Crime Prevention,transfers,Transfer payments,unknown,223303954.53
Agriculture and Agri-Food Canada,"Chamber, Committees and Associations",transfers,Transfer payments,unknown,220102092.49
Employment and Social Development Canada,Marine Navigation,personnel,Personnel,statutory,219726970.74
House of Commons,House Administration,personnel,Personnel,voted,219708495.97
National Defence,Ready Air and Space Forces,personnel,Personnel,statutory,217315958.51
Natural Resources Canada,Lower Carbon Transportation,transfers,Transfer payments,unknown,216976741.06
Environment and Climate Change Canada,Internal Services,transfers,Transfer payments,unknown,216541685.24
Shared Services Canada,Workplace Technologies,operating,Rentals,voted,214940536.1
Shared Services Canada,Enterprise Services Design and Delivery,personnel,Personnel,voted,213866133.5
National Defence,"Defence Infrastructure Maintenance, Support and Operations",other,Other subsidies and payments,voted,211922673.73
National Defence,Defence Team Management,personnel,Personnel,statutory,208145948.19
Canada Revenue Agency,Objections and Appeals,personnel,Personnel,voted,204569986.72
National Defence,Naval Bases,personnel,Personnel,voted,203251993.03
Global Affairs Canada,Real Property Planning and Stewardship,operating,Rentals,voted,202583588.11
Natural Resources Canada,Forest Climate Change,transfers,Transfer payments,unknown,202240914.29
Department of Justice Canada,Youth Justice,transfers,Transfer payments,unknown,201364815.0
Parks Canada,Information Delivery and Services for Other Departments,personnel,Personnel,voted,199623642.26
Marine Atlantic Inc.,Marine Atlantic Inc.,other,Other subsidies and payments,unknown,194973753.0
Crown-Indigenous Relations and Northern Affairs Canada,Nutrition North,transfers,Transfer payments,unknown,194282077.6
Employment and Social Development Canada,Student Work Placement Program,transfers,Transfer payments,unknown,193761449.0
Natural Sciences and Engineering Research Council of Canada,Research Training and Talent Development,transfers,Transfer payments,unknown,193141386.07
National Defence,"Defence Infrastructure Construction, Recapitalization and Investment",operating,Professional and special services,statutory,192972148.91
National Defence,"Science, Technology and Innovation",personnel,Personnel,voted,192788393.39
Employment and Social Development Canada,Labour Market Development Agreements,operating,Professional and special services,voted,191837741.94
The Jacques-Cartier and Champlain Bridges Inc.,The Jacques-Cartier and Champlain Bridges Inc.,other,Other subsidies and payments,unknown,189641989.81
Canada Revenue Agency,Management and Oversight Services,personnel,Personnel,voted,188861582.4
Social Sciences and Humanities Research Council of Canada,Research Training and Talent Development,transfers,Transfer payments,unknown,184879154.64
Department of Indigenous Services,Safety and Prevention Services,transfers,Transfer payments,unknown,184865342.82
Public Prosecution Service of Canada,Internal Services,personnel,Personnel,voted,182566751.06
Health Canada,"Quality Health Science, Data and Evidence",transfers,Transfer payments,unknown,181313878.0
Canadian Heritage,Indigenous Languages,transfers,Transfer payments,unknown,181166282.0
Canada Revenue Agency,Internal Services,personnel,Personnel,statutory,180511409.53
Employment and Social Development Canada,Management and Oversight Services,personnel,Personnel,voted,179069251.0
Employment and Social Development Canada,Real Property Management Services,operating,Rentals,voted,174979297.63
Employment and Social Development Canada,Employment Insurance,other,Other subsidies and payments,voted,173144287.5
Canada Revenue Agency,Human Resources Management Services,personnel,Personnel,voted,171735634.5
National Defence,Military Member and Family Support,operating,Professional and special services,voted,171616085.35
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,other,Other subsidies and payments,voted,168644214.12
Employment and Social Development Canada,Canadian Apprenticeship Strategy,transfers,Transfer payments,unknown,166133856.0
National Defence,Ready Cyber and Joint Communication and Information Systems (JCIS) Forces,personnel,Personnel,voted,165416191.79
Public Services and Procurement Canada,Federal Pay Administration,operating,Professional and special services,voted,164052128.93
"Innovation, Science and Economic Development Canada",Intellectual Property,personnel,Personnel,statutory,163229582.25
Canada Economic Development for Quebec Regions,Regional Innovation,transfers,Transfer payments,unknown,162702254.0
Department of Indigenous Services,Community Economic Development,transfers,Transfer payments,unknown,161892922.9
Global Affairs Canada,Foreign Service Directives,personnel,Personnel,voted,161437055.52
International Development Research Centre,International Development Research Centre,other,Other subsidies and payments,unknown,160270169.0
National Defence,Ready Naval Forces,personnel,Personnel,statutory,160244663.45
National Defence,Maritime Equipment Acquisition,operating,Professional and special services,voted,157603384.22
Royal Canadian Mounted Police,Specialized Technical Investigative Services,personnel,Personnel,voted,157566108.63
Environment and Climate Change Canada,Internal services,personnel,Personnel,voted,157030516.63
"Immigration, Refugees and Citizenship Canada",Internal Services,personnel,Personnel,voted,156744894.56
National Defence,Aerospace Equipment Acquisition,capital,"Acquisition of land, buildings and works",statutory,155483088.4
Canada Revenue Agency,Tax Services and Processing,personnel,Personnel,statutory,154584189.6
National Defence,International Operations,operating,Professional and special services,voted,154155778.97
National Defence,Recruitment,personnel,Personnel,voted,154034185.78
Health Canada,Pharmaceutical Drugs,personnel,Personnel,voted,153661996.56
National Defence,Cadets and Junior Canadian Rangers (Youth Program),personnel,Personnel,voted,153656479.94
Agriculture and Agri-Food Canada,Justice System Support,transfers,Transfer payments,unknown,153567317.5
National Defence,Military Transition,personnel,Personnel,voted,152774078.41
Canada Revenue Agency,"Policy, Rulings, and Interpretations",personnel,Personnel,voted,152660497.23
Employment and Social Development Canada,Employment Insurance,personnel,Personnel,statutory,150888165.82
National Defence,"Joint, Common and International Bases",personnel,Personnel,voted,150878670.46
National Capital Commission,National Capital Commission,other,Other subsidies and payments,unknown,150820480.0
National Defence,Ready Intelligence Forces,personnel,Personnel,voted,150376027.65
"Innovation, Science and Economic Development Canada",Support for Underrepresented Entrepreneurs,transfers,Transfer payments,unknown,149031817.48
National Defence,International Operations,operating,Rentals,voted,148711749.37
Shared Services Canada,Data Centre Information Technology Operations,operating,Repair and maintenance,voted,148455267.74
National Defence,International Operations,operating,"Utilities, materials and supplies",voted,147624654.48
Shared Services Canada,Connectivity,personnel,Personnel,voted,147272975.28
National Defence,"Command, Control and Sustainment of Operations",personnel,Personnel,voted,146571305.87
Veterans Affairs Canada,Transition Support,operating,Professional and special services,voted,146452703.17
Correctional Service Canada,Institutional Management and Support,personnel,Personnel,voted,144868689.21
Department of Indigenous Services,Primary Health Care,personnel,Personnel,voted,144303566.75
Correctional Service Canada,Prosecution Services,operating,Professional and special services,voted,144065051.67
Fisheries and Oceans Canada,Small Craft Harbours,capital,"Acquisition of land, buildings and works",statutory,144020278.84
"Immigration, Refugees and Citizenship Canada",Refugee Resettlement,operating,Professional and special services,voted,143336791.42
Correctional Service Canada,Accommodation Services,capital,"Acquisition of land, buildings and works",statutory,143048904.46
Statistics Canada,Economic and Environmental Statistics,personnel,Personnel,voted,142541879.17
Public Services and Procurement Canada,Federal Accommodation and Infrastructure,operating,Rentals,statutory,140996030.46
House of Commons,Members and House Officers,personnel,Personnel,voted,140790599.36
National Defence,Management and Oversight Services,personnel,Personnel,voted,140632483.79
Royal Canadian Mounted Police,Protective Operations,personnel,Personnel,voted,140364639.59
Immigration and Refugee Board of Canada,Refugee Protection Decisions,personnel,Personnel,voted,138138265.01
Treasury Board of Canada Secretariat,Public Service Employer Payments,operating,Professional and special services,unknown,137700332.11
Global Affairs Canada,Internal Services,personnel,Personnel,voted,137687045.75
Shared Services Canada,Data Centre Information Technology Operations,capital,Acquisition of machinery and equipment,statutory,137056510.83
National Defence,Ready Special Operations Forces,personnel,Personnel,voted,136730148.18
Atlantic Canada Opportunities Agency,Protection of financial consumers,transfers,Transfer payments,unknown,135902728.92
National Defence,Information Technology Services,operating,Rentals,voted,134942567.29
Parks Canada,Heritage Places Conservation,personnel,Personnel,voted,134607777.53
Public Health Agency of Canada,Emergency Preparedness and Response,operating,"Utilities, materials and supplies",voted,133717746.88
National Defence,International Operations,personnel,Personnel,voted,132888276.19
Statistics Canada,Centres of Expertise,personnel,Personnel,voted,132252287.93
Employment and Social Development Canada,Human Resources Management Services,personnel,Personnel,voted,131542913.93
National Defence,Human Resources Management Services,personnel,Personnel,voted,130496890.82
Veterans Affairs Canada,Long Term Care,operating,Professional and special services,voted,130104267.05
Statistics Canada,Socio-economic Statistics,personnel,Personnel,voted,129159975.23
Public Health Agency of Canada,Vaccination,operating,"Utilities, materials and supplies",voted,128287381.3
National Defence,Military Member and Family Support,personnel,Personnel,voted,127675942.54
National Defence,Military Police Institutional Operations,personnel,Personnel,voted,125452769.13
Correctional Service Canada,Providing access to documentary heritage,personnel,Personnel,voted,124917114.03
Crown-Indigenous Relations and Northern Affairs Canada,"Negotiation of Treaties, Self-Government Agreements and Other Constructive Arrangements",transfers,Transfer payments,unknown,124094507.67
Royal Canadian Mounted Police,Municipal Policing,personnel,Personnel,statutory,123916475.2
Social Sciences and Humanities Research Council of Canada,New Frontiers in Research Fund,transfers,Transfer payments,unknown,123648583.33
Crown-Indigenous Relations and Northern Affairs Canada,Support for Indigenous Engagement and Capacity,transfers,Transfer payments,unknown,123214824.58
Agriculture and Agri-Food Canada,Loan Guarantee Programs,transfers,Transfer payments,statutory,122613529.08
Public Services and Procurement Canada,Linguistic Services,personnel,Personnel,statutory,121915239.65
Crown-Indigenous Relations and Northern Affairs Canada,Northern and Arctic Governance and Partnerships,transfers,Transfer payments,unknown,121701756.82
Health Canada,Physical security,transfers,Transfer payments,unknown,121479355.95
Prairies Economic Development Canada,Community Initiatives,transfers,Transfer payments,unknown,120927566.0
Office of the Superintendent of Financial Institutions Canada,Risk Assessment and Intervention - Federally Regulated Financial Institutions,personnel,Personnel,statutory,120195704.03
Environment and Climate Change Canada,Species at Risk,transfers,Transfer payments,unknown,119195359.59
Global Affairs Canada,Locally Engaged Staff Services,personnel,Personnel,voted,118221588.46
Transport Canada,Transportation Infrastructure,capital,"Acquisition of land, buildings and works",statutory,118049967.87
Transport Canada,Aviation Safety Oversight,personnel,Personnel,voted,117820420.77
Natural Resources Canada,Energy Innovation and Clean Technology (EICT),transfers,Transfer payments,unknown,117494376.04
National Defence,"Defence Infrastructure Maintenance, Support and Operations",operating,Repair and maintenance,voted,117153478.3
Royal Canadian Mounted Police,Provincial/Territorial Policing,operating,Transportation and communications,voted,116951346.31
National Defence,International Operations,capital,Acquisition of machinery and equipment,voted,116589968.4
Shared Services Canada,Enterprise Services Design and Delivery,operating,Professional and special services,voted,116241259.67
Destination Canada,Canadian Tourism Commission,other,Other subsidies and payments,unknown,115967712.0
Employment and Social Development Canada,Employment Insurance,operating,Professional and special services,voted,115859869.62
Prairies Economic Development Canada,Innovation,transfers,Transfer payments,unknown,115850760.0
Employment and Social Development Canada,Canada Recovery Benefits,other,Other subsidies and payments,statutory,114299515.0
Correctional Service Canada,Supervision,personnel,Personnel,statutory,113781116.25
Health Canada,Healthy People and Communities,transfers,Transfer payments,unknown,112853243.5
Department of Indigenous Services,Indigenous Entrepreneurship and Business Development,transfers,Transfer payments,unknown,111725623.84
Canada Revenue Agency,Information Technology Services,personnel,Personnel,statutory,109460299.24
