notice_number,buyer_name,supplier_name,title,awarded_cad,overrun_cad,expense_count,reason,overrun_pct,seao_url
528248,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Les Carrières Bob-Son Inc.,Construction du lot A (km 0 à 82) du prolongement de la route 167 nord vers les monts Otish (Baie-James et Mistissini),75965899.9,8595492.21,1,Travaux de construction réalisés en période hivernale,11.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=1da2ebea-14ec-4298-8c51-a8afb12166d2
1315608,SQI-Direction Gestion de projets Ouest du Québec (SQI-Gestion de projets Montréal CMO),Consortium Tetra Tech | WSP,Services professionnels en génie civil et structure (équipe de projet) avec approche BIM-PCI - Construction de nouvelles écoles secondaires dans la province de Québec,3636800.0,8236794.0,1,"Ajustement des honoraires pour les volets B, C et D.",226.5,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=eaa3d62c-b8a0-468e-beba-70f3d984dad0
1260080,Centre universitaire de santé McGill.,Roche Diagnotstics,Ligne automatisée - Roche Diagnostic,29090946.0,7500000.0,1,"De prolonger le contrat existant de l' hopital general juif pour 2 ans avec une année d'option, afin de répondre au mandat ministérielle de standardisation et harmonisation des processus Laboratoire",25.8,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=a28e3d68-9a4f-4c84-9a2e-b5dd602ce7c1
303591,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)","EBC-TNT, s.e.n.c.",Réaménagement partiel de l'échangeur de l’A-20/A-25/Rte 132 et reconstruction de la route 132 (Longueuil et Boucherville),69860000.67,7492216.35,1,Poursuites judiciaires ou réclamations,10.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=7dfd79de-c20b-4e65-9de4-06bdba2f7eb4
257775,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),Bell Mobilité (div Radio),Création et exploitation des centres d'assistance et de conduite des réseaux de radio du CSPQ,33599133.0,7420000.0,1,Montant supplémentaire afin de permettre la continuité des services jusqu'à l'émission d'un appel d'offres et la mise en place du nouveau contrat.,22.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=8f65fabe-9270-4bdc-8283-e43b70a4003f
729015,SQI-Direction Gestion de projets Ouest 1 (SQI-Gestion de projets Montréal- SSS),Entreprise de Construction TEQ inc.,Appel d'offres deux étapes - Construction-Étape 1-Qualification - Hôpital Maisonneuve-Rosemont Agrandissement et rénovation fonctionnelle de l'urgence,38578000.0,7211482.06,9,ODC 833 et ajustements mineurs de juin,18.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=61f70c13-72eb-41ad-a92a-1e652eebd4d4
622499,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Les Grands Travaux Soter,"Réfection de chaussée de l'autoroute 40, du pont de l'Ile-aux-Tourtes au boulevard Saint-Charles - Lot 2 dans diverses municipalités",49297000.0,7183544.58,1,Poursuites judiciaires ou réclamations,14.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c27db043-106d-4734-a063-95b784b68d2d
508016,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),Les Grands Travaux Soter,STRUCTURES COMPLEXES - Phase 2 - Réaménagement partiel de l'échangeur A-20/A-25/route 132 de reconstruction de tronçons (Longueuil et Boucherville),66531281.42,7039289.7,2,Poursuites judiciaires ou réclamations,10.6,
891113,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",DB-AECON Pont St-Jacques S.E.P.,SIC1301-15-0202 Travaux de dérivation du collecteur St-Pierre (secteur ouest),22297665.0,7009741.12,3,Dépassement relié à des variations de quantité et/ou des modifications au contrat de construction ou de services de nature technique,31.4,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=0a7f4d3a-2313-469c-b6f9-b388c991048f
433766,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Les Grands Travaux Soter,Remplacement de trois structures de l’échangeur des Laurentides à l’intersection de l’autoroute 15 et l’autoroute 40 (Montréal),46063108.32,6885738.5,1,Poursuites judiciaires ou réclamations,14.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=7c943dbc-809d-4f97-858c-c1798e756970
1122749,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",MOHAWK BRIDGE CONSORTIUM,"3110-18-0201 - Travaux de réparation de structure et d'entretien, pont Honoré-Mercier, sur la route 138 au-dessus du fleuve St-Laurent (Kahnawake et Montréal)",12715000.0,6454037.56,2,Travaux additionnels urgents pour la sécurité du public,50.8,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=f1762d86-206c-4822-a73a-10e729fc4ad5
708178,Société de l'assurance automobile du Québec .,Gemalto.,Fabrication de permis de conduire plastifiés avec photo et d’autres pièces personnalisées,10979305.0,6432000.0,1,Production d'une nouvelle pièce personnalisée (RAMQ),58.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=a5882360-09f9-4f5e-9de6-27ea0e72e99b
386043,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)","Groupe Hexagone, s.e.c..","Remplacement du tablier du pont Viau sur la route 335, au-dessus de la rivière des Prairies (Laval et Montréal)",37128575.45,6167363.08,4,Poursuites judiciaires ou réclamations,16.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=504d7b89-9a9d-45a7-b46a-1a82e1779150
956169,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Construction Dimco inc.,SIC8503-15-0210 Urgence - Renforcement de la poutre 1 de la travée 16 du pont de l'île-aux-tourtes.,4407044.1,6027000.0,2,Travaux additionnels urgents pour la sécurité du public,136.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=bac366ab-d9f9-4e62-8ba1-a32fc89cd831
609389,Centre Hospitalier de l'Université de Montréal. CHUM,"St. Jude Medical Canada, Inc",Fournitures d'électrophysiologie,3004225.0,6004000.0,3,Achat fournitures spécialisées en électrophysiologie,199.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=72658e61-33d8-46c2-a75a-4eb52543023d
673097,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)","Demix Construction, une division de CRH Canada inc.","(STRUCTURE COMPLEXE) - PROJET TURCOT - Construction de la phase 1 de trois tunnels ferroviaires, soit la structure P-18036 (Montréal)",22185232.95,5921111.8,3,Modifications au concept initial,26.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=ada54e37-c6ed-4678-b639-625125ea7900
607074,Groupe d'approvisionnement de l'Ouest du Québec,Somagen Diagnostics Inc.,PROGRAMME QUÉBÉCOIS DE DÉPISTAGE DU CANCER COLORECTAL,8190867.0,5890830.0,1,Contrat à commande. Fluctuation du volume. Une année de prolongation non-prévue au contrat.,71.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=3826c99f-4117-4e5e-b5ba-79bda6fe813c
1205762,Centre de services partagés du Québec- Direction générale des services en gestion contractuelle,Microsoft Canada Inc.,Contrat à commandes Microsoft Select Plus pour les clients du regroupement d'achats,20000000.0,5806000.0,1,Un montant additionnel a été alloué afin de mener à terme le contrat.,29.0,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=5241a654-dceb-420e-895c-3080d20c7a52
1426866,SQI-Direction Gestion de projets Ouest SSS,LE GROUPE DECAREL INC.,"Nouveau pavillon - 290, rue De Montigny, Saint-Jérôme",57759000.0,5661850.96,1,Imprévus de chantier,9.8,
530168,Centre universitaire de santé McGill.,Intelerad Medical Systems Incorporated,Service and Support Agreement - MUHC,3850000.0,5378665.0,3,Service annuel pour maintenance du logiciel TraumaCad,139.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=4c9996db-efda-465f-b2d4-8079a0c3af94
289394,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",GROUPE AECON QUÉBEC LTÉE.,"Reconstruction du pont Carbonneau et ses approches sur la route 169, au-dessus de la rivière Ashuapmushuan (Saint-Félicien)",46758647.91,5363803.64,2,Poursuites judiciaires ou réclamations,11.5,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=69c6feed-e9ec-470c-8ca2-2e8188f852b3
