jurisdiction,fiscal_year,organization,programme,kind,amount
ca-federal,2020-21,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,15023242000.0
ca-federal,2020-21,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,13685088912.0
ca-federal,2020-21,Department of Indigenous Services,Grants & Contributions,appropriation,12503003011.0
ca-federal,2020-21,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,6760167451.0
ca-federal,2020-21,Public Health Agency of Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,appropriation,5443026228.0
ca-federal,2020-21,Department of Finance,Other Interest Costs,appropriation,5329760904.0
ca-federal,2020-21,Department of National Defence,Capital,appropriation,4953763025.0
ca-federal,2020-21,Canada Revenue Agency,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,appropriation,4546974222.0
ca-federal,2020-21,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,4180225221.0
ca-federal,2020-21,Department of National Defence,Contributions to employee benefit plans (Members of the Military),appropriation,4016577703.0
ca-federal,2020-21,Canada Revenue Agency,Operating/Program,appropriation,3904606162.0
ca-federal,2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,3838444460.0
ca-federal,2020-21,Department of Veterans Affairs,Grants & Contributions,appropriation,3667732300.0
ca-federal,2020-21,Department of Finance,Operating/Program,appropriation,3304039520.0
ca-federal,2020-21,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,3130132366.0
ca-federal,2020-21,Department of Employment and Social Development,Grants & Contributions,appropriation,3037668779.0
ca-federal,2020-21,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,44382661808.0
ca-federal,2020-21,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,41880173684.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments for the Canada Emergency Response Benefit pursuant to the Public Health Events of National Concern Payments Act,transfer,40563570750.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Benefit enhancement measures for the Employment Insurance Operating Account,transfer,27331431907.0
ca-federal,2020-21,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,20572844000.0
ca-federal,2020-21,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,15023242000.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments for the Canada Recovery Benefit pursuant to the Canada Recovery Benefits Act,transfer,14417284976.0
ca-federal,2020-21,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,13685088912.0
ca-federal,2020-21,Department of Finance,(S) Safe Restart Agreement,transfer,12276726000.0
ca-federal,2020-21,Canada Revenue Agency,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,transfer,4546974222.0
ca-federal,2020-21,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,4180225221.0
ca-federal,2020-21,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,3774914547.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments for the Canada Emergency Student Benefit pursuant to the Public Health Events of National Concern Payments Act,transfer,2944026750.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,2920803871.0
ca-federal,2020-21,Department of Finance,(S) Essential Workers Support Fund,transfer,2538999989.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments for additional support for Canadian seniors pursuant to the Public Health Events of National Concern Payments Act,transfer,2454917600.0
ca-federal,2020-21,"Department of Housing, Infrastructure and Communities",(S) Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2170315887.0
ca-federal,2020-21,Department of Indigenous Services,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,2012313809.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments for the Canada Recovery Caregiving Benefit pursuant to the Canada Recovery Benefits Act,transfer,1956732950.0
ca-federal,2020-21,Department of Indigenous Services,Contributions to support the construction and maintenance of community infrastructure,transfer,1941753655.0
ca-federal,2020-21,Department of Indigenous Services,Contributions for First Nations and Inuit Primary Health Care,transfer,1783770399.0
ca-federal,2020-21,Department of Crown-Indigenous Relations and Northern Affairs,"Grants to First Nations to settle specific claims negotiated by Canada and/or awarded by the Specific Claims Tribunal, and to Indigenous groups to settle special claims",transfer,1738084279.0
ca-federal,2020-21,Department of Indigenous Services,Contributions to strengthen the safety and well-being of First Nations children and their families,transfer,1504568478.0
ca-federal,2020-21,Department of Employment and Social Development,(S) Payments to support provincial and territorial job training efforts pursuant to the Public Health Events of National Concern Payments Act,transfer,1498300000.0
ca-federal,2020-21,Department of Health,Strengthening Canada's Home and Community Care and Mental Health and Addiction Initiative and Virtual Care Services Initiative,transfer,1346991846.0
ca-federal,2021-22,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,46221407443.0
ca-federal,2021-22,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,43132954822.0
ca-federal,2021-22,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,20910789000.0
ca-federal,2021-22,Department of Finance,Interest on Unmatured Debt,appropriation,17865672922.0
ca-federal,2021-22,Department of National Defence,Operating/Program,appropriation,17543477864.0
ca-federal,2021-22,Department of Employment and Social Development,Payments pursuant to the Canada Recovery Benefits Act,appropriation,16581988533.0
ca-federal,2021-22,Department of Indigenous Services,Grants & Contributions,appropriation,15786101021.0
ca-federal,2021-22,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,15473939000.0
ca-federal,2021-22,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,14004834366.0
ca-federal,2021-22,Public Health Agency of Canada,Operating/Program,appropriation,8093113853.0
ca-federal,2021-22,Treasury Board Secretariat,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,appropriation,7805000000.0
ca-federal,2021-22,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,5590387304.0
ca-federal,2021-22,Department of Finance,Other Interest Costs,appropriation,5122310988.0
ca-federal,2021-22,Department of Employment and Social Development,Grants & Contributions,appropriation,4793596083.0
ca-federal,2021-22,Department of National Defence,Capital,appropriation,4641317354.0
ca-federal,2021-22,"Department of Housing, Infrastructure and Communities",Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),appropriation,4490082497.0
ca-federal,2021-22,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,4379878578.0
ca-federal,2021-22,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,4237527265.0
ca-federal,2021-22,Department of Veterans Affairs,Grants & Contributions,appropriation,4194785237.0
ca-federal,2021-22,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,4042530388.0
ca-federal,2021-22,Canada Revenue Agency,Operating/Program,appropriation,4038060959.0
ca-federal,2021-22,Department of Finance,Payments related to Canada health transfer,appropriation,4000000000.0
ca-federal,2021-22,Royal Canadian Mounted Police,Operating/Program,appropriation,3955115401.0
ca-federal,2021-22,Canada Revenue Agency,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,appropriation,3761940968.0
ca-federal,2021-22,Department of Health,Grants & Contributions,appropriation,3250849610.0
ca-federal,2021-22,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,46221407443.0
ca-federal,2021-22,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,43132954822.0
ca-federal,2021-22,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,20910789000.0
ca-federal,2021-22,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,15473939000.0
ca-federal,2021-22,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,14004834367.0
ca-federal,2021-22,Department of Employment and Social Development,(S) Payments for the Canada Recovery Benefit pursuant to the Canada Recovery Benefits Act,transfer,13016862110.0
ca-federal,2021-22,"Department of Housing, Infrastructure and Communities",(S) Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,4490082497.0
ca-federal,2021-22,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,4379878578.0
ca-federal,2021-22,Department of Finance,(S) Payments related to Canada health transfer (Section 24.72 - Federal-Provincial Fiscal Arrangements Act),transfer,4000000000.0
ca-federal,2021-22,Canada Revenue Agency,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,transfer,3761940968.0
ca-federal,2021-22,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,3154531139.0
ca-federal,2021-22,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,3069395614.0
ca-federal,2021-22,Department of Employment and Social Development,"(S) Payments to provinces and territories for early learning and child care pursuant to the Budget Implementation Act, 2021, No. 1",transfer,2648082433.0
ca-federal,2021-22,Department of Indigenous Services,Contributions to support the construction and maintenance of community infrastructure,transfer,2643198947.0
ca-federal,2021-22,Department of Health,Strengthening Canada's Home and Community Care and Mental Health and Addiction Initiative and Virtual Care Services Initiative,transfer,2552597627.0
ca-federal,2021-22,Department of Indigenous Services,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,2323290064.0
ca-federal,2021-22,Department of Employment and Social Development,(S) Payments for the Canada Recovery Caregiving Benefit pursuant to the Canada Recovery Benefits Act,transfer,2288081206.0
ca-federal,2021-22,Department of Indigenous Services,Contributions for First Nations and Inuit Primary Health Care,transfer,2258360449.0
ca-federal,2021-22,Department of Employment and Social Development,"(S) Supplementary payment to seniors (OAS 75+) pursuant to the Budget Implementation Act, 2021, No. 1",transfer,1679427560.0
ca-federal,2021-22,"Department of Housing, Infrastructure and Communities",Investing in Canada Infrastructure Program,transfer,1543486307.0
ca-federal,2021-22,Department of Veterans Affairs,Pain and Suffering Compensation,transfer,1543024533.0
ca-federal,2021-22,Department of Indigenous Services,Contributions to provide income support to on-reserve residents and Status Indians in the Yukon Territory,transfer,1465463606.0
ca-federal,2021-22,Department of Indigenous Services,Contributions to provide children and families with Protection and Prevention Services,transfer,1383476475.0
ca-federal,2021-22,Department of Employment and Social Development,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market",transfer,1306568862.0
ca-federal,2021-22,"Department of Housing, Infrastructure and Communities",New Building Canada Fund - Provincial-Territorial Infrastructure Component - National and Regional Projects,transfer,1192693013.0
ca-federal,2022-23,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,52737283412.0
ca-federal,2022-23,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,45140656521.0
ca-federal,2022-23,Department of Finance,Interest on Unmatured Debt,appropriation,25990399324.0
ca-federal,2022-23,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,21920222000.0
ca-federal,2022-23,Department of National Defence,Operating/Program,appropriation,18952474021.0
ca-federal,2022-23,Department of Indigenous Services,Grants & Contributions,appropriation,17672587165.0
ca-federal,2022-23,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,16100638016.0
ca-federal,2022-23,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,15938157000.0
ca-federal,2022-23,Department of Employment and Social Development,Grants & Contributions,appropriation,10079866411.0
ca-federal,2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,7108082582.0
ca-federal,2022-23,Canada Revenue Agency,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,appropriation,6823776253.0
ca-federal,2022-23,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,6412400808.0
ca-federal,2022-23,Department of Finance,Other Interest Costs,appropriation,5597929854.0
ca-federal,2022-23,Public Health Agency of Canada,Operating/Program,appropriation,5040889896.0
ca-federal,2022-23,Department of National Defence,Capital,appropriation,4921497717.0
ca-federal,2022-23,Department of Indigenous Services,Operating/Program,appropriation,4748340722.0
ca-federal,2022-23,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,4552785221.0
ca-federal,2022-23,Canada Revenue Agency,Operating/Program,appropriation,4473905356.0
ca-federal,2022-23,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,4280895492.0
ca-federal,2022-23,Department of Veterans Affairs,Grants & Contributions,appropriation,4177856503.0
ca-federal,2022-23,Treasury Board Secretariat,Treasury Board Central,appropriation,3759894377.0
ca-federal,2022-23,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,3575649302.0
ca-federal,2022-23,Department of Employment and Social Development,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,appropriation,3367941806.0
ca-federal,2022-23,Royal Canadian Mounted Police,Operating/Program,appropriation,3267126325.0
ca-federal,2022-23,Department of Public Safety and Emergency Preparedness,Grants & Contributions,appropriation,3045103138.0
ca-federal,2022-23,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,52737283412.0
ca-federal,2022-23,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,45140656521.0
ca-federal,2022-23,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,21920222000.0
ca-federal,2022-23,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,16100638016.0
ca-federal,2022-23,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,15938157000.0
ca-federal,2022-23,Canada Revenue Agency,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,transfer,6823776253.0
ca-federal,2022-23,Department of Employment and Social Development,Payments to provinces and territories for the purpose of Early Learning and Child Care,transfer,5190359972.0
ca-federal,2022-23,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,4552785221.0
ca-federal,2022-23,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,3565823105.0
ca-federal,2022-23,Department of Crown-Indigenous Relations and Northern Affairs,"Grants to First Nations to settle specific claims negotiated by Canada and/or awarded by the Specific Claims Tribunal, and to Indigenous groups to settle special claims",transfer,3556998173.0
ca-federal,2022-23,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,3367941806.0
ca-federal,2022-23,Department of Indigenous Services,Contributions to support the construction and maintenance of community infrastructure,transfer,3228463767.0
ca-federal,2022-23,Department of Indigenous Services,"Contributions to provide children, youth, young adults, families  and communities with prevention and protection services",transfer,2753369429.0
ca-federal,2022-23,Department of Public Safety and Emergency Preparedness,Contributions to the provinces for assistance related to natural disasters,transfer,2423638161.0
ca-federal,2022-23,Department of Indigenous Services,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,2388377648.0
ca-federal,2022-23,Department of Indigenous Services,Contributions for First Nations and Inuit Primary Health Care,transfer,2371749723.0
ca-federal,2022-23,"Department of Housing, Infrastructure and Communities",(S) Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2268966610.0
ca-federal,2022-23,Department of Finance,(S) Payments related to Canada health transfer (Section 24.72 - Federal-Provincial Fiscal Arrangements Act),transfer,2000000000.0
ca-federal,2022-23,"Department of Housing, Infrastructure and Communities",Investing in Canada Infrastructure Program,transfer,1894973848.0
ca-federal,2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Grants to implement comprehensive land claims and self-government agreements and other agreements to address Section 35 Rights,transfer,1878534219.0
ca-federal,2022-23,Department of Indigenous Services,Contributions to provide income support to on-reserve residents and Status Indians in the Yukon Territory,transfer,1441142564.0
ca-federal,2022-23,Department of Veterans Affairs,Pain and Suffering Compensation,transfer,1387239972.0
ca-federal,2022-23,Department of Health,Payments to provinces and territories for the Purpose of Home Care and Mental Health,transfer,1200296173.0
ca-federal,2022-23,Department of Indigenous Services,Contributions for First Nations and Inuit Health Infrastructure Support,transfer,1197655889.0
ca-federal,2022-23,Department of Employment and Social Development,(S) Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,transfer,1193100454.0
ca-federal,2023-24,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,57444856822.3
ca-federal,2023-24,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,49431243596.0
ca-federal,2023-24,Department of Finance,Interest on Unmatured Debt,appropriation,36430208410.23
ca-federal,2023-24,Department of Indigenous Services,Operating/Program,appropriation,26693617338.0
ca-federal,2023-24,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,23963000000.0
ca-federal,2023-24,Department of National Defence,Operating/Program,appropriation,20213741778.0
ca-federal,2023-24,Department of Indigenous Services,Grants & Contributions,appropriation,19619163626.0
ca-federal,2023-24,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,18030935781.17
ca-federal,2023-24,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,16416302000.0
ca-federal,2023-24,Export Development Canada (Canada Account),Forgiveness of non-budgetary loans pursuant to section 23(6) of the Export Development Act,appropriation,10306700332.0
ca-federal,2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Operating/Program,appropriation,10087209540.0
ca-federal,2023-24,Department of Employment and Social Development,Grants & Contributions,appropriation,9823590359.0
ca-federal,2023-24,Canada Revenue Agency,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,appropriation,9599733793.87
ca-federal,2023-24,Department of National Defence,Capital,appropriation,6583516855.0
ca-federal,2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6222241606.0
ca-federal,2023-24,Department of Finance,Other Interest Costs,appropriation,6043911079.07
ca-federal,2023-24,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,5578000268.0
ca-federal,2023-24,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,5491113368.0
ca-federal,2023-24,Canada Revenue Agency,Operating/Program,appropriation,5359496028.0
ca-federal,2023-24,Department of Health,Grants & Contributions,appropriation,4997847198.0
ca-federal,2023-24,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,4930969163.0
ca-federal,2023-24,Department of National Defence,Contributions to employee benefit plans (Members of the Military),appropriation,4852352717.42
ca-federal,2023-24,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,4834417818.0
ca-federal,2023-24,Department of Veterans Affairs,Grants & Contributions,appropriation,4636714330.0
ca-federal,2023-24,Treasury Board Secretariat,Treasury Board Central,appropriation,3853588562.0
ca-federal,2023-24,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,57444856822.3
ca-federal,2023-24,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,49431243596.0
ca-federal,2023-24,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,24539511311.0
ca-federal,2023-24,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,18030935781.17
ca-federal,2023-24,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,16416302000.0
ca-federal,2023-24,Canada Revenue Agency,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,transfer,9599733793.87
ca-federal,2023-24,Department of Employment and Social Development,Payments to provinces and territories for the purpose of Early Learning and Child Care,transfer,6179192877.0
ca-federal,2023-24,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,4834417818.0
ca-federal,2023-24,Department of Indigenous Services,"Contributions to provide children, youth, young adults, families  and communities with prevention and protection services",transfer,3571728670.36
ca-federal,2023-24,Department of Indigenous Services,Contributions to support the construction and maintenance of community infrastructure,transfer,3312582755.67
ca-federal,2023-24,Department of Indigenous Services,Contributions for First Nations and Inuit Primary Health Care,transfer,3029524348.1
ca-federal,2023-24,Department of Crown-Indigenous Relations and Northern Affairs,"Grants to First Nations to settle specific claims negotiated by Canada and/or awarded by the Specific Claims Tribunal, and to Indigenous groups to settle special claims",transfer,2787365500.96
ca-federal,2023-24,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,2674008982.68
ca-federal,2023-24,Department of Indigenous Services,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,2555002456.01
ca-federal,2023-24,Department of Health,Contributions to Provinces and Territories for Shared Health Priorities,transfer,2500000000.0
ca-federal,2023-24,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,2400675230.6
ca-federal,2023-24,"Department of Housing, Infrastructure and Communities",(S) Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2367617331.0
ca-federal,2023-24,"Department of Housing, Infrastructure and Communities",Investing in Canada Infrastructure Program,transfer,2040641020.85
ca-federal,2023-24,Department of Finance,(S) Payments related to Canada health transfer (Section 24.72 - Federal-Provincial Fiscal Arrangements Act),transfer,2000000000.0
ca-federal,2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Grants to implement comprehensive land claims and self-government agreements and other agreements to address Section 35 Rights,transfer,1834366350.23
ca-federal,2023-24,Department of Health,Payments to provinces and territories for the Purpose of Home Care and Mental Health,transfer,1800312300.0
ca-federal,2023-24,Department of Veterans Affairs,Pain and Suffering Compensation,transfer,1608757206.42
ca-federal,2023-24,Department of Industry,Contributions under the Strategic Innovation Fund,transfer,1404605079.0
ca-federal,2023-24,Department of Indigenous Services,Contributions to provide income support to on-reserve residents and Status Indians in the Yukon Territory,transfer,1398611441.65
ca-federal,2023-24,Department of Employment and Social Development,(S) Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,transfer,1379984379.2
ca-federal,2024-25,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,60648088711.1
ca-federal,2024-25,Department of Finance,Canada Health and Social Transfer,appropriation,52070383303.0
ca-federal,2024-25,Department of Finance,Interest on Unmatured Debt,appropriation,42185287373.41
ca-federal,2024-25,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,25252833000.0
ca-federal,2024-25,Department of Indigenous Services,Grants & Contributions,appropriation,22828043798.0
ca-federal,2024-25,Department of National Defence,Operating/Program,appropriation,21714479545.0
ca-federal,2024-25,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,18910375539.2
ca-federal,2024-25,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,16908791000.0
ca-federal,2024-25,Canada Revenue Agency,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,appropriation,12664115951.19
ca-federal,2024-25,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,11900129617.0
ca-federal,2024-25,Department of Employment and Social Development,Grants & Contributions,appropriation,10117400843.0
ca-federal,2024-25,Department of National Defence,Capital,appropriation,8761988873.0
ca-federal,2024-25,Treasury Board Secretariat,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,appropriation,6425000000.02
ca-federal,2024-25,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,5879804313.0
ca-federal,2024-25,Department of Finance,Other Interest Costs,appropriation,5809858768.72
ca-federal,2024-25,Department of Veterans Affairs,Grants & Contributions,appropriation,5579881063.0
ca-federal,2024-25,Department of Health,Grants & Contributions,appropriation,5501537921.0
ca-federal,2024-25,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,5466687949.0
ca-federal,2024-25,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,5265754483.0
ca-federal,2024-25,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,5158964752.0
ca-federal,2024-25,Canada Revenue Agency,Operating/Program,appropriation,5132695471.0
ca-federal,2024-25,Treasury Board Secretariat,Treasury Board Central,appropriation,4232621232.0
ca-federal,2024-25,Department of Industry,Grants & Contributions,appropriation,4011375226.0
ca-federal,2024-25,Royal Canadian Mounted Police,Operating/Program,appropriation,3769187217.0
ca-federal,2024-25,Department of Citizenship and Immigration,Grants & Contributions,appropriation,3572858382.0
ca-federal,2024-25,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,60648088711.1
ca-federal,2024-25,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,52070383303.0
ca-federal,2024-25,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,25252833000.0
ca-federal,2024-25,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,18910375539.2
ca-federal,2024-25,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,16908791000.0
ca-federal,2024-25,Canada Revenue Agency,(S) Distribution of fuel charge (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing,transfer,15232994603.19
ca-federal,2024-25,Department of Crown-Indigenous Relations and Northern Affairs,"Grants to First Nations to settle specific claims negotiated by Canada and/or awarded by the Specific Claims Tribunal, and to Indigenous groups to settle special claims",transfer,8313650447.4
ca-federal,2024-25,Department of Employment and Social Development,Payments to provinces and territories for the purpose of Early Learning and Child Care,transfer,7208049648.0
ca-federal,2024-25,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,5158964752.0
ca-federal,2024-25,Department of Indigenous Services,Contributions to support the construction and maintenance of community infrastructure,transfer,4903111580.01
ca-federal,2024-25,Department of Indigenous Services,"Contributions to provide children, youth, young adults, families  and communities with prevention and protection services",transfer,3886190381.2
ca-federal,2024-25,Department of Indigenous Services,Contributions for First Nations and Inuit Primary Health Care,transfer,3513282940.28
ca-federal,2024-25,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,2769617584.47
ca-federal,2024-25,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,2584053454.26
