month,method_key,awards,total_cad
2012-04-01,limited,990,54012644.56
2012-04-01,open,1547,1365185306.22
2012-04-01,other,94,67809913.85
2012-05-01,direct,1378,274902766.72
2012-05-01,limited,1109,56215621.5
2012-05-01,open,1863,1193370874.32
2012-05-01,other,149,78889441.91
2012-06-01,direct,1297,588477110.86
2012-06-01,limited,1040,57559910.41
2012-06-01,open,1769,1614844246.77
2012-06-01,other,164,34743933.22
2012-07-01,direct,869,128499080.12
2012-07-01,limited,743,386778912.88
2012-07-01,open,1292,1346417910.64
2012-07-01,other,186,20258814.68
2012-08-01,direct,637,98692145.09
2012-08-01,limited,530,34819353.25
2012-08-01,open,1231,806826192.13
2012-08-01,other,130,13370193.16
2012-09-01,direct,546,91413293.06
2012-09-01,limited,689,42504592.25
2012-09-01,open,1319,1098547920.6
2012-09-01,other,120,34124395.82
2012-10-01,direct,710,85971828.4
2012-10-01,limited,833,53011308.03
2012-10-01,open,1180,1288572992.01
2012-10-01,other,147,100124659.09
2012-11-01,direct,780,191631704.62
2012-11-01,limited,606,32654633.43
2012-11-01,open,971,596012705.04
2012-11-01,other,127,35862275.77
2012-12-01,direct,869,257869616.71
2012-12-01,limited,479,28606618.38
2012-12-01,open,815,543318210.75
2012-12-01,other,103,25605899.73
2013-01-01,direct,846,186867967.08
2013-01-01,limited,358,16283459.64
2013-01-01,open,575,421921922.52
2013-01-01,other,92,80971452.14
2013-02-01,direct,691,128861429.21
2013-02-01,limited,476,31415152.62
2013-02-01,open,823,622140908.46
2013-02-01,other,79,24118795.75
2013-03-01,direct,987,306264028.99
2013-03-01,limited,697,37232721.03
2013-03-01,open,1079,707206083.51
2013-03-01,other,83,18175027.47
2013-04-01,direct,1537,357058184.46
2013-04-01,limited,936,70427752.06
2013-04-01,open,1630,1147646131.44
2013-04-01,other,166,41696094.77
2013-05-01,direct,1248,391413586.79
2013-05-01,limited,1110,53403101.36
2013-05-01,open,1935,1981490485.24
2013-05-01,other,255,48923889.07
2013-06-01,direct,1001,259015035.34
2013-06-01,limited,918,52579960.22
2013-06-01,open,1704,1486012625.3
2013-06-01,other,226,59355707.78
2013-07-01,direct,1654,340782349.98
2013-07-01,limited,716,50863977.45
2013-07-01,open,1437,1109548464.7
2013-07-01,other,246,43949730.27
2013-08-01,direct,602,105749371.2
2013-08-01,limited,579,41019920.17
2013-08-01,open,1233,897093553.36
2013-08-01,other,181,39118058.88
2013-09-01,direct,884,349006935.32
2013-09-01,limited,702,41570418.95
2013-09-01,open,1469,1483327260.58
2013-09-01,other,149,26979874.45
2013-10-01,direct,895,247760101.22
2013-10-01,limited,612,50271635.66
2013-10-01,open,1226,956183704.95
2013-10-01,other,137,72240259.08
2013-11-01,direct,789,175059094.38
2013-11-01,limited,556,37648102.15
2013-11-01,open,816,486820141.63
2013-11-01,other,111,37833615.87
2013-12-01,direct,1004,2331741056.3
2013-12-01,limited,448,46153144.8
2013-12-01,open,780,674791372.51
2013-12-01,other,175,41319731.0
2014-01-01,direct,885,266532974.17
2014-01-01,limited,307,14973400.64
2014-01-01,open,645,757527974.6
2014-01-01,other,75,22570257.64
2014-02-01,direct,845,512872402.28
2014-02-01,limited,468,23827417.79
2014-02-01,open,758,504110890.13
2014-02-01,other,85,13123912.02
2014-03-01,direct,952,136167564.13
2014-03-01,limited,662,46108722.25
2014-03-01,open,1171,684759689.44
2014-03-01,other,133,106786653.15
2014-04-01,direct,1560,336057062.78
2014-04-01,limited,963,75492031.9
2014-04-01,open,1664,927403621.28
2014-04-01,other,212,215915977.13
2014-05-01,direct,1031,202772416.55
2014-05-01,limited,908,47721831.34
2014-05-01,open,1642,1134310692.71
2014-05-01,other,186,97694900.04
2014-06-01,direct,904,211436978.93
2014-06-01,limited,853,51482108.02
2014-06-01,open,1696,1022185420.44
2014-06-01,other,311,53971169.16
2014-07-01,direct,1468,388053077.47
2014-07-01,limited,682,34882560.22
2014-07-01,open,1364,1006324317.48
2014-07-01,other,320,66354925.29
2014-08-01,direct,549,117918299.83
2014-08-01,limited,466,44817611.67
2014-08-01,open,1130,687492041.07
2014-08-01,other,186,43457710.98
2014-09-01,direct,776,112226539.99
2014-09-01,limited,597,45984645.57
2014-09-01,open,1300,1027931664.49
2014-09-01,other,153,23819782.44
2014-10-01,direct,791,122585094.2
2014-10-01,limited,720,40775811.86
2014-10-01,open,1237,775021933.04
2014-10-01,other,185,48509823.7
2014-11-01,direct,733,203141213.26
2014-11-01,limited,547,26392721.65
2014-11-01,open,793,546262026.29
2014-11-01,other,154,69182654.15
2014-12-01,direct,904,281914986.9
2014-12-01,limited,476,27338990.36
2014-12-01,open,800,603692651.08
2014-12-01,other,97,41427287.22
2015-01-01,direct,757,114035470.43
2015-01-01,limited,299,39387483.28
2015-01-01,open,676,985331672.82
2015-01-01,other,54,121843309.8
2015-02-01,direct,816,122276489.26
2015-02-01,limited,448,54629214.55
2015-02-01,open,792,2108556918.99
2015-02-01,other,84,27112690.23
2015-03-01,direct,1161,302811160.68
2015-03-01,limited,739,41875942.94
2015-03-01,open,1447,934120977.58
2015-03-01,other,129,123074819.23
2015-04-01,direct,1422,246530818.1
2015-04-01,limited,747,117157124.0
2015-04-01,open,1695,1335328060.66
2015-04-01,other,180,52246263.64
2015-05-01,direct,1142,181622043.99
2015-05-01,limited,837,44542579.63
2015-05-01,open,1638,1066851531.83
2015-05-01,other,267,46902422.18
2015-06-01,direct,985,252276843.67
2015-06-01,limited,868,48320728.28
2015-06-01,open,1828,1161525724.95
2015-06-01,other,317,101739326.01
2015-07-01,direct,1473,306206255.49
2015-07-01,limited,658,68916237.23
2015-07-01,open,1420,922631910.27
2015-07-01,other,219,53553725.81
2015-08-01,direct,599,190723822.2
2015-08-01,limited,421,22624128.51
2015-08-01,open,1093,1050356993.72
2015-08-01,other,161,31831676.97
2015-09-01,direct,732,114772337.8
2015-09-01,limited,587,31622155.17
2015-09-01,open,1178,747396757.97
2015-09-01,other,163,58184467.52
2015-10-01,direct,769,116065516.3
2015-10-01,limited,677,40135558.14
2015-10-01,open,1028,865950192.55
2015-10-01,other,131,125895322.5
2015-11-01,direct,727,88844976.69
2015-11-01,limited,485,23546711.48
2015-11-01,open,809,494024115.71
2015-11-01,other,121,66205119.55
2015-12-01,direct,862,228449635.22
2015-12-01,limited,453,20687623.93
2015-12-01,open,689,827063917.62
2015-12-01,other,231,33047964.49
2016-01-01,direct,971,182650718.56
2016-01-01,limited,283,12401997.34
2016-01-01,open,603,270323421.39
2016-01-01,other,47,6143542.93
2016-02-01,direct,812,234345341.64
2016-02-01,limited,407,407354725.03
2016-02-01,open,699,546858172.87
2016-02-01,other,74,37204187.47
2016-03-01,direct,926,203545791.55
2016-03-01,limited,640,33864432.01
2016-03-01,open,1249,980893899.89
2016-03-01,other,95,42709796.24
2016-04-01,direct,1382,190837903.72
2016-04-01,limited,782,37473344.26
2016-04-01,open,1460,882910188.38
2016-04-01,other,141,43479252.94
2016-05-01,direct,1012,281956487.51
2016-05-01,limited,884,49100846.88
2016-05-01,open,1656,1370439794.57
2016-05-01,other,222,59406403.87
2016-06-01,direct,1052,275106130.55
2016-06-01,limited,824,40722724.46
2016-06-01,open,1847,1322198469.22
2016-06-01,other,225,45680248.94
2016-07-01,direct,1629,335154424.13
2016-07-01,limited,561,53832761.39
2016-07-01,open,1194,1002069868.86
2016-07-01,other,227,208751982.9
2016-08-01,direct,718,158971234.46
2016-08-01,limited,421,21949385.51
2016-08-01,open,1042,753390825.93
2016-08-01,other,163,26444955.65
2016-09-01,direct,732,121776155.67
2016-09-01,limited,535,26999656.85
2016-09-01,open,1244,878875402.18
2016-09-01,other,174,77586826.16
2016-10-01,direct,853,361987296.21
2016-10-01,limited,569,36380939.68
2016-10-01,open,1023,1086714709.4
2016-10-01,other,132,199740382.51
2016-11-01,direct,923,235336831.99
2016-11-01,limited,537,30635594.92
2016-11-01,open,981,924688691.55
2016-11-01,other,145,29235339.26
2016-12-01,direct,1078,271281249.27
2016-12-01,limited,439,22682724.34
2016-12-01,open,799,657387825.31
2016-12-01,other,142,83401572.95
2017-01-01,direct,980,227240778.17
2017-01-01,limited,304,17026238.1
2017-01-01,open,463,613126360.21
2017-01-01,other,68,38272292.64
2017-02-01,direct,940,141110255.92
2017-02-01,limited,423,21298230.8
2017-02-01,open,842,780676761.7
2017-02-01,other,81,32921836.42
2017-03-01,direct,1187,320599418.93
2017-03-01,limited,598,33639654.13
2017-03-01,open,1346,1489265184.54
2017-03-01,other,113,53162677.25
2017-04-01,direct,1497,437645931.2
2017-04-01,limited,675,34193700.72
2017-04-01,open,1857,2609925537.55
2017-04-01,other,140,58219672.18
2017-05-01,direct,1373,261167274.62
2017-05-01,limited,889,45597097.98
2017-05-01,open,1872,1794001993.82
2017-05-01,other,192,257040134.9
2017-06-01,direct,1242,275735234.79
2017-06-01,limited,780,498345104.69
2017-06-01,open,2052,1759072279.46
2017-06-01,other,197,69303843.76
2017-07-01,direct,1815,527066979.75
2017-07-01,limited,531,29703102.43
2017-07-01,open,1437,1486318870.36
2017-07-01,other,224,114133540.85
2017-08-01,direct,872,383784025.25
2017-08-01,limited,486,24735057.02
2017-08-01,open,1265,1348929127.45
2017-08-01,other,182,55842976.88
2017-09-01,direct,878,152962965.83
2017-09-01,limited,510,28739557.31
2017-09-01,open,1322,1235392475.65
2017-09-01,other,158,78762006.13
2017-10-01,direct,978,206404021.12
2017-10-01,limited,605,35371552.07
2017-10-01,open,1311,1122193840.54
2017-10-01,other,139,114869169.67
2017-11-01,direct,1138,184890698.79
2017-11-01,limited,438,33240681.61
2017-11-01,open,972,785984658.06
2017-11-01,other,137,62240291.98
2017-12-01,direct,1166,283327907.98
2017-12-01,limited,382,19384245.45
2017-12-01,open,807,687013332.23
2017-12-01,other,134,84475954.41
2018-01-01,direct,1274,254683416.91
2018-01-01,limited,281,21209037.45
2018-01-01,open,772,1556984861.18
2018-01-01,other,79,53334319.12
2018-02-01,direct,1067,202994517.42
2018-02-01,limited,396,20056287.74
2018-02-01,open,940,1203294665.44
2018-02-01,other,83,78660798.41
2018-03-01,direct,1401,323686021.77
2018-03-01,limited,646,31412360.17
2018-03-01,open,1410,1276724431.14
2018-03-01,other,133,53531590.65
2018-04-01,direct,1943,472779330.98
2018-04-01,limited,795,50458765.33
2018-04-01,open,1873,2011277756.59
2018-04-01,other,180,50971375.95
2018-05-01,direct,1676,334884952.51
2018-05-01,limited,837,39948194.89
2018-05-01,open,2270,2506320397.61
2018-05-01,other,242,89531473.82
2018-06-01,direct,1924,620710762.84
2018-06-01,limited,755,48041836.44
2018-06-01,open,1810,2050304018.74
2018-06-01,other,192,1051405736.02
2018-07-01,direct,1489,325019994.8
2018-07-01,limited,564,30621571.59
2018-07-01,open,1416,1814465034.72
2018-07-01,other,222,129838729.44
2018-08-01,direct,1001,438144152.91
2018-08-01,limited,449,30833030.32
2018-08-01,open,1220,1199539275.68
2018-08-01,other,203,132858519.58
2018-09-01,direct,1060,292223273.41
2018-09-01,limited,453,29156101.22
2018-09-01,open,1268,1441769384.03
2018-09-01,other,184,214050610.57
2018-10-01,direct,1263,303686967.36
2018-10-01,limited,677,44011568.25
2018-10-01,open,1250,1399814155.86
2018-10-01,other,144,143668165.04
2018-11-01,direct,1413,1344644408.85
2018-11-01,limited,581,29333095.94
2018-11-01,open,1050,1158276126.76
2018-11-01,other,118,43209998.38
2018-12-01,direct,1425,632212420.43
2018-12-01,limited,409,37677015.97
2018-12-01,open,872,1668275804.16
2018-12-01,other,126,119682698.34
2019-01-01,direct,1450,297712987.44
2019-01-01,limited,297,21738232.13
2019-01-01,open,668,881828499.28
2019-01-01,other,57,31988155.48
2019-02-01,direct,1458,369507981.25
2019-02-01,limited,457,64178005.55
2019-02-01,open,1001,1155222507.57
2019-02-01,other,138,63446307.77
2019-03-01,direct,1666,508121469.9
2019-03-01,limited,589,28149567.73
2019-03-01,open,1594,1403156059.24
2019-03-01,other,146,72499484.74
2019-04-01,direct,2226,605005980.95
2019-04-01,limited,692,35428489.12
2019-04-01,open,2235,2200583291.66
2019-04-01,other,199,55954388.76
2019-05-01,direct,1880,454290583.61
2019-05-01,limited,779,243425640.08
2019-05-01,open,2436,2325529571.36
2019-05-01,other,253,80437354.21
2019-06-01,direct,2076,605203853.17
2019-06-01,limited,643,34634705.35
2019-06-01,open,2027,2184692515.66
2019-06-01,other,158,65414502.23
2019-07-01,direct,1486,434100171.83
2019-07-01,limited,530,28705028.17
2019-07-01,open,1598,2796300919.51
2019-07-01,other,269,177652089.44
2019-08-01,direct,1093,238050680.52
2019-08-01,limited,384,20764335.41
2019-08-01,open,1416,1869409457.24
2019-08-01,other,194,56731486.22
2019-09-01,direct,1234,366725724.15
2019-09-01,limited,464,28457753.49
2019-09-01,open,1310,1358465596.18
2019-09-01,other,162,94163019.45
2019-10-01,direct,1536,457254064.0
2019-10-01,limited,542,34343920.06
2019-10-01,open,1612,2578665654.81
2019-10-01,other,127,36753769.67
2019-11-01,direct,1379,337180282.56
2019-11-01,limited,449,32111757.39
2019-11-01,open,1073,802060704.31
2019-11-01,other,118,47163761.0
2019-12-01,direct,1099,410604587.93
2019-12-01,limited,271,14050717.43
2019-12-01,open,970,1108950382.55
2019-12-01,other,108,41209504.13
2020-01-01,direct,926,195488883.84
2020-01-01,limited,135,8730889.66
2020-01-01,open,598,598443305.39
2020-01-01,other,6,2340529.98
2020-02-01,direct,719,116440500.51
2020-02-01,limited,143,9373558.68
2020-02-01,open,827,663248336.11
2020-03-01,direct,1302,420043365.92
2020-03-01,limited,214,12024741.13
2020-03-01,open,1226,3555257260.48
2020-03-01,other,4,554832.0
2020-04-01,direct,1706,669251633.1
2020-04-01,limited,216,12151281.23
2020-04-01,open,950,993381973.72
2020-04-01,other,1,984698.79
2020-05-01,direct,1158,286468646.94
2020-05-01,limited,255,58040629.6
2020-05-01,open,1213,1247476626.27
2020-05-01,other,1,381428.68
2020-06-01,direct,1452,312659369.26
2020-06-01,limited,281,13906173.12
2020-06-01,open,1826,1828535025.41
2020-07-01,direct,1204,676434797.67
2020-07-01,limited,196,2306412640.97
2020-07-01,open,1252,2344616481.25
2020-07-01,other,6,1369360.87
2020-08-01,direct,1052,256446635.74
2020-08-01,limited,232,17830493.03
2020-08-01,open,899,932569634.08
2020-08-01,other,2,3362565.94
2020-09-01,direct,1337,322428594.09
2020-09-01,limited,289,17226444.74
2020-09-01,open,1011,1152327592.56
2020-09-01,other,2,3166915.78
2020-10-01,direct,1529,475985746.41
2020-10-01,limited,336,17967299.08
2020-10-01,open,1165,1053998266.19
2020-10-01,other,4,967198.81
2020-11-01,direct,1567,239468134.68
2020-11-01,limited,306,16503592.87
2020-11-01,open,982,991387978.32
2020-11-01,other,8,13124020.9
2020-12-01,direct,2009,482842150.9
2020-12-01,limited,341,23208571.35
2020-12-01,open,921,1042434921.67
2020-12-01,other,19,278611125.84
2021-01-01,direct,2353,667101940.47
2021-01-01,limited,335,23475272.11
2021-01-01,open,1057,1851247554.96
2021-01-01,other,59,43476096.4
2021-02-01,direct,2161,279461360.49
2021-02-01,limited,508,32799416.96
2021-02-01,open,1406,1598883466.2
2021-02-01,other,68,171350120.57
2021-03-01,direct,2953,619727313.03
2021-03-01,limited,744,116914172.34
2021-03-01,open,2425,2119583559.56
2021-03-01,other,55,70076791.98
2021-04-01,direct,3036,770901160.95
2021-04-01,limited,829,41867606.01
2021-04-01,open,3073,4762140310.98
2021-04-01,other,62,69017681.46
2021-05-01,direct,2553,550236888.21
2021-05-01,limited,810,40587626.0
2021-05-01,open,2761,3020553875.91
2021-05-01,other,42,33705343.62
2021-06-01,direct,2914,403904515.72
2021-06-01,limited,740,54820263.68
2021-06-01,open,3156,3858729203.12
2021-07-01,direct,2074,507677914.19
2021-07-01,limited,453,51323441.88
2021-07-01,open,2029,3242768060.0
